Fecha,Tabla,Completitud,Precision,Consistencia,Duplicados
2024-06-29,Ventas,93.11,99.96,97.47,2
2024-07-29,Inventario,95.88,98.28,88.79,5
2024-08-28,Ventas,91.48,96.21,87.42,2
2024-09-27,RRHH,92.03,95.82,93.3,4
2024-10-27,Clientes,93.16,99.54,88.17,0
2024-11-26,RRHH,92.16,98.95,95.51,2
2024-01-01,Ventas,97.21,96.45,99.75,5
2024-01-31,RRHH,93.36,95.34,97.35,0
2024-03-01,Finanzas,94.64,99.14,91.88,4
2024-03-31,Ventas,94.58,97.7,87.88,1
2024-04-30,Inventario,92.14,98.03,98.63,2
2024-05-30,Inventario,92.66,95.24,98.12,5
2024-06-29,RRHH,90.42,95.38,91.78,2
2024-07-29,Clientes,92.47,99.35,87.9,1
2024-08-28,Ventas,96.23,98.43,95.03,0
2024-09-27,RRHH,99.78,95.14,88.41,3
2024-10-27,Ventas,98.38,99.75,85.13,1
2024-11-26,Clientes,90.16,95.69,98.71,0
2024-01-01,Finanzas,95.39,95.97,85.12,2
2024-01-31,Inventario,92.59,97.71,98.11,4
2024-03-01,Finanzas,95.33,96.39,87.7,3
2024-03-31,Finanzas,93.94,99.51,88.12,0
2024-04-30,Finanzas,90.52,96.59,88.28,3
2024-05-30,Clientes,98.8,98.64,93.9,4
2024-06-29,Clientes,97.98,95.17,93.33,4
2024-07-29,RRHH,95.44,97.96,88.26,2
2024-08-28,RRHH,99.57,99.55,85.34,4
2024-09-27,Inventario,91.91,97.6,93.0,1
2024-10-27,Ventas,90.88,97.4,85.79,3
2024-11-26,Inventario,90.15,99.0,97.58,0
2024-01-01,Finanzas,94.3,99.78,99.13,1
2024-01-31,Finanzas,94.69,98.3,86.62,5
2024-03-01,RRHH,98.73,95.32,90.07,3
2024-03-31,RRHH,95.12,96.84,97.25,4
2024-04-30,Ventas,98.47,97.22,99.13,2
2024-05-30,RRHH,99.93,97.83,90.66,4
2024-06-29,Clientes,91.81,99.34,94.45,2
2024-07-29,Clientes,90.26,99.38,92.41,3
2024-08-28,Clientes,96.26,98.82,99.17,3
2024-09-27,Inventario,95.12,99.44,95.15,2
2024-10-27,Finanzas,95.24,98.08,90.02,4
2024-11-26,Ventas,94.3,96.56,91.64,1
2024-01-01,RRHH,97.5,95.14,92.52,0
2024-01-31,Inventario,92.6,97.83,89.87,4
2024-03-01,Ventas,92.19,98.7,87.56,2
2024-03-31,RRHH,96.37,98.89,91.79,5
2024-04-30,RRHH,96.65,99.23,86.54,3
2024-05-30,Finanzas,90.83,98.35,85.89,2
2024-06-29,Clientes,92.69,95.88,92.16,5
2024-07-29,Inventario,90.17,99.37,88.56,1
2024-08-28,Inventario,97.35,99.6,85.87,3
2024-09-27,Finanzas,91.98,95.77,87.69,0
2024-10-27,RRHH,90.41,96.6,91.81,4
2024-11-26,Finanzas,91.63,99.19,88.33,2
2024-01-01,Finanzas,99.71,97.19,97.58,4
2024-01-31,RRHH,94.11,97.56,89.08,2
2024-03-01,Finanzas,99.26,95.39,97.48,5
2024-03-31,RRHH,91.62,97.15,97.53,4
2024-04-30,Finanzas,97.29,98.11,89.01,3
2024-05-30,RRHH,92.86,96.74,95.61,3
2024-06-29,Finanzas,93.77,96.2,93.13,5
2024-07-29,Finanzas,92.26,95.1,94.86,2
2024-08-28,RRHH,91.6,99.98,97.01,2
2024-09-27,RRHH,90.16,99.1,86.66,1
2024-10-27,Clientes,93.84,95.86,86.42,4
2024-11-26,RRHH,97.85,95.29,85.77,3
2024-01-01,Ventas,93.56,97.19,90.08,2
2024-01-31,RRHH,99.36,96.95,86.24,5
2024-03-01,RRHH,95.61,99.95,91.47,5
2024-03-31,RRHH,95.87,95.93,97.86,2
2024-04-30,Inventario,99.67,95.34,93.9,2
2024-05-30,Finanzas,99.03,95.89,96.46,5
2024-06-29,Clientes,95.31,97.39,95.57,2
2024-07-29,Finanzas,95.27,98.13,87.42,1
2024-08-28,Inventario,91.72,98.75,94.7,3
2024-09-27,RRHH,93.51,98.9,92.98,0
2024-10-27,Inventario,92.49,96.07,90.94,4
2024-11-26,Finanzas,92.73,97.98,90.07,3
2024-01-01,Inventario,90.81,98.05,96.65,4
2024-01-31,RRHH,99.48,95.45,85.98,1
2024-03-01,Inventario,91.94,97.3,95.7,4
2024-03-31,Inventario,96.98,99.3,95.22,4
2024-04-30,RRHH,98.69,98.54,91.95,0
2024-05-30,Inventario,91.34,98.02,94.44,3
2024-06-29,Clientes,92.9,98.86,97.96,0
2024-07-29,Finanzas,94.39,97.92,96.43,2
2024-08-28,RRHH,96.94,98.8,85.77,5
2024-09-27,RRHH,98.54,98.45,86.46,3
2024-10-27,Clientes,98.58,99.97,85.26,4
2024-11-26,Finanzas,94.08,99.86,87.63,5
2024-01-01,Clientes,91.43,99.7,89.28,5
2024-01-31,Finanzas,94.11,98.23,96.83,3
2024-03-01,Inventario,95.83,99.88,88.84,5
2024-03-31,Clientes,97.79,96.95,99.1,3
2024-04-30,Ventas,93.24,97.27,93.66,4
2024-05-30,Ventas,95.03,98.21,94.08,4
2024-06-29,RRHH,92.6,97.45,85.5,5
2024-07-29,Inventario,91.6,98.17,89.03,2
2024-08-28,Clientes,92.55,95.04,86.79,5
2024-09-27,Clientes,94.68,95.76,88.61,1
2024-10-27,Clientes,92.25,95.54,98.98,5
2024-11-26,Clientes,95.79,95.57,88.78,1
2024-01-01,Inventario,91.14,99.21,98.65,4
2024-01-31,Finanzas,98.21,95.8,93.61,1
2024-03-01,Inventario,98.29,96.99,92.69,4
2024-03-31,Ventas,93.26,99.28,98.96,0
2024-04-30,Clientes,98.08,96.49,91.76,0
2024-05-30,Clientes,97.42,97.74,93.87,4
2024-06-29,Inventario,94.59,95.59,99.46,1
2024-07-29,Inventario,96.41,98.89,92.65,5
2024-08-28,Clientes,93.66,98.55,86.42,3
2024-09-27,Ventas,92.75,96.87,96.39,1
2024-10-27,Inventario,99.22,95.7,88.34,4
2024-11-26,Clientes,92.3,99.2,90.38,1
2024-01-01,RRHH,96.69,97.14,94.36,0
2024-01-31,Inventario,90.53,96.48,92.73,1
2024-03-01,Ventas,92.29,98.68,90.64,2
2024-03-31,Clientes,99.98,98.86,87.11,3
2024-04-30,Clientes,95.16,99.16,86.5,0
2024-05-30,RRHH,94.05,95.57,91.59,4
2024-06-29,Ventas,91.61,96.36,97.56,2
2024-07-29,Inventario,97.47,97.83,87.24,1
2024-08-28,Inventario,99.23,99.51,93.94,0
2024-09-27,Inventario,90.17,99.69,96.98,5
2024-10-27,Ventas,92.6,99.54,86.1,5
2024-11-26,Inventario,96.88,96.85,97.19,1
2024-01-01,Clientes,99.62,99.66,90.09,2
2024-01-31,RRHH,93.43,97.94,95.37,3
2024-03-01,Finanzas,92.76,96.77,86.13,3
2024-03-31,Ventas,96.13,99.4,96.59,5
2024-04-30,Clientes,91.06,97.66,85.81,4
2024-05-30,Ventas,97.73,97.68,97.72,3
2024-06-29,RRHH,96.21,95.34,87.29,4
2024-07-29,Ventas,98.42,97.37,99.0,3
2024-08-28,Clientes,94.1,98.92,98.81,5
2024-09-27,RRHH,92.15,96.54,93.36,0
2024-10-27,Inventario,92.93,95.69,97.35,4
2024-11-26,Inventario,94.76,97.18,92.82,1
2024-01-01,Inventario,90.4,97.51,97.92,2
2024-01-31,RRHH,92.99,95.8,88.95,2
2024-03-01,Ventas,92.59,99.41,91.63,5
2024-03-31,RRHH,97.21,99.47,90.75,0
2024-04-30,Finanzas,92.06,99.65,85.77,5
2024-05-30,Inventario,90.4,98.98,99.34,5
2024-06-29,Inventario,91.29,95.05,88.62,2
2024-07-29,Finanzas,94.35,98.56,92.8,0
2024-08-28,Inventario,90.19,97.22,87.53,5
2024-09-27,Inventario,98.04,98.08,88.14,3
2024-10-27,Inventario,96.3,95.22,92.46,4
2024-11-26,Clientes,93.8,97.18,98.64,1
2024-01-01,Inventario,94.19,97.88,94.0,4
2024-01-31,Finanzas,96.74,96.68,94.52,5
2024-03-01,Ventas,97.8,96.18,99.22,3
2024-03-31,Clientes,98.02,97.1,90.93,2
2024-04-30,Clientes,92.82,96.3,86.28,4
2024-05-30,Inventario,97.56,98.47,89.58,2
2024-06-29,Clientes,94.77,99.08,93.23,1
2024-07-29,Clientes,96.73,97.75,93.51,2
2024-08-28,Clientes,97.27,96.7,88.85,4
2024-09-27,Ventas,90.73,98.9,95.21,5
2024-10-27,RRHH,95.31,98.61,88.3,3
2024-11-26,Clientes,96.72,97.64,96.47,1
2024-01-01,Clientes,97.39,98.9,94.8,1
2024-01-31,Ventas,92.22,98.06,93.1,2
2024-03-01,Inventario,91.92,97.98,97.31,1
2024-03-31,Inventario,96.19,99.47,95.69,5
2024-04-30,Inventario,93.62,98.62,92.5,1
2024-05-30,Ventas,95.37,95.11,88.28,1
2024-06-29,Inventario,92.2,98.27,85.49,1
2024-07-29,RRHH,92.62,96.06,88.92,0
2024-08-28,Clientes,98.64,98.6,99.09,2
2024-09-27,Inventario,94.06,99.29,94.26,2
2024-10-27,Inventario,98.0,96.32,94.27,4
2024-11-26,Inventario,91.41,95.31,88.9,3
2024-01-01,Ventas,94.54,96.54,89.03,0
2024-01-31,Finanzas,94.95,97.16,98.07,3
2024-03-01,RRHH,97.54,99.66,95.8,1
2024-03-31,RRHH,98.62,96.45,86.44,5
2024-04-30,Ventas,97.06,99.57,93.53,5
2024-05-30,RRHH,91.23,99.37,85.78,4
2024-06-29,Ventas,91.13,96.15,95.31,3
2024-07-29,Ventas,96.86,96.1,86.44,2
2024-08-28,Inventario,95.06,99.05,98.0,3
2024-09-27,RRHH,95.63,95.92,92.55,5
2024-10-27,Ventas,97.63,95.6,99.59,4
2024-11-26,Clientes,90.05,96.43,97.48,0
2024-01-01,Inventario,96.57,95.74,86.01,1
2024-01-31,Finanzas,94.18,98.83,86.96,1
2024-03-01,Ventas,96.02,96.08,90.89,3
2024-03-31,Ventas,96.03,99.02,88.64,0
2024-04-30,Ventas,92.45,95.95,94.21,1
2024-05-30,Finanzas,92.6,95.33,96.55,4
2024-06-29,Inventario,99.9,96.78,89.18,5
2024-07-29,Finanzas,94.7,98.92,98.76,5
2024-08-28,Finanzas,92.21,95.63,93.84,3
2024-09-27,RRHH,93.68,97.22,93.43,3
2024-10-27,Inventario,96.7,99.99,85.78,0
2024-11-26,Inventario,98.63,97.32,94.95,3
2024-01-01,Finanzas,93.73,95.78,88.01,3
2024-01-31,Finanzas,92.82,96.04,94.14,2
2024-03-01,Clientes,98.32,95.44,88.4,3
2024-03-31,Finanzas,92.14,99.18,92.38,0
2024-04-30,RRHH,92.04,98.49,89.63,2
2024-05-30,Finanzas,92.11,95.06,96.37,2
2024-06-29,RRHH,92.44,95.53,92.58,5
2024-07-29,RRHH,99.47,99.66,85.26,3
2024-08-28,RRHH,93.69,99.29,85.43,5
2024-09-27,Finanzas,96.66,96.95,88.56,0
2024-10-27,Finanzas,96.27,99.83,94.8,1
2024-11-26,Inventario,90.36,99.24,87.02,5
2024-01-01,Ventas,94.52,95.72,99.9,3
2024-01-31,Clientes,95.12,95.35,99.21,3
2024-03-01,Inventario,92.11,97.65,88.31,3
2024-03-31,Ventas,91.69,95.99,99.65,2
2024-04-30,Inventario,99.29,99.13,97.06,4
2024-05-30,Finanzas,98.08,96.18,98.56,1
2024-06-29,Inventario,91.23,98.85,99.87,0
2024-07-29,Finanzas,93.15,98.97,94.76,3
2024-08-28,Finanzas,90.8,98.61,97.28,0
2024-09-27,Ventas,93.2,98.34,96.19,3
2024-10-27,Ventas,98.93,97.32,97.05,3
2024-11-26,Inventario,90.1,96.06,90.34,5
2024-01-01,Clientes,90.95,98.98,96.38,2
2024-01-31,Ventas,92.99,99.83,94.78,5
2024-03-01,Inventario,99.12,96.06,85.61,0
2024-03-31,Ventas,96.01,96.62,95.7,2
2024-04-30,Finanzas,95.25,99.45,99.46,5
2024-05-30,Ventas,98.82,99.32,86.95,3
2024-06-29,Inventario,92.7,99.42,92.48,3
2024-07-29,Clientes,93.05,97.1,88.72,4
2024-08-28,Finanzas,94.36,96.32,85.09,1
2024-09-27,RRHH,97.09,99.62,87.24,2
2024-10-27,Clientes,99.55,99.92,97.68,4
2024-11-26,Finanzas,91.54,95.66,87.08,5
2024-01-01,Inventario,91.94,95.68,98.28,0
2024-01-31,Ventas,97.75,97.98,99.99,2
2024-03-01,Clientes,98.99,98.5,85.13,3
2024-03-31,RRHH,97.14,96.55,87.01,3
2024-04-30,Inventario,97.84,96.75,98.27,1
2024-05-30,Inventario,90.08,96.15,97.74,3
2024-06-29,Clientes,97.84,95.4,99.85,0
2024-07-29,Ventas,91.32,96.96,99.95,4
2024-08-28,RRHH,92.22,99.26,94.27,1
2024-09-27,Ventas,91.62,99.43,98.77,2
2024-10-27,Clientes,91.22,99.02,93.34,1
2024-11-26,Inventario,97.95,97.68,96.89,5
2024-01-01,Clientes,94.31,96.78,98.39,1
2024-01-31,Finanzas,91.02,99.29,95.31,3
2024-03-01,Finanzas,90.79,97.28,88.28,0
2024-03-31,Inventario,93.28,99.2,93.72,3
2024-04-30,Finanzas,96.21,98.26,87.85,3
2024-05-30,Inventario,95.27,97.49,95.4,3
2024-06-29,Inventario,90.09,99.77,91.16,5
2024-07-29,Ventas,91.92,98.53,94.24,1
2024-08-28,Finanzas,93.1,99.98,86.67,5
2024-09-27,Finanzas,91.12,95.9,94.6,3
2024-10-27,Finanzas,99.08,99.65,91.46,1
2024-11-26,RRHH,98.05,96.8,89.38,3
